name,age,gender,department,degree,cgpa,internships,projects,programming_skills,communication_skills,aptitude_score,technical_score,work_experience,certifications,soft_skills,leadership,hackathons,placed,salary_lpa
Student_0000,20,Male,Electrical,B.Tech,7.38,3,5,58,74,48,46,12,1,80,1,4,1,11.92
Student_0001,23,Male,Computer Science,M.Tech,6.18,3,4,35,42,76,45,13,5,39,1,4,1,15.51
Student_0002,22,Male,Civil,BCA,7.23,0,1,76,52,96,96,3,5,96,0,3,1,13.15
Student_0003,21,Female,Mechanical,B.Tech,6.46,2,3,57,72,98,58,3,2,73,0,2,1,11.27
Student_0004,21,Male,Civil,B.Tech,7.12,1,1,55,38,60,78,9,0,43,1,1,0,0.0
Student_0005,23,Female,Electronics,B.Tech,5.0,0,3,67,52,89,43,9,1,50,0,3,0,0.0
Student_0006,20,Female,Computer Science,BCA,6.27,2,2,35,80,44,59,10,3,92,0,2,0,0.0
Student_0007,22,Female,Civil,M.Tech,8.86,0,5,56,84,89,79,3,0,75,0,3,1,12.22
Student_0008,20,Male,Mechanical,M.Tech,8.23,1,3,98,54,95,92,21,1,46,0,0,1,13.6
Student_0009,20,Other,Electronics,B.Tech,8.72,2,5,73,38,66,60,8,0,87,1,2,1,12.88
Student_0010,22,Male,Electronics,B.Tech,8.79,3,4,70,31,66,35,19,5,80,1,3,1,14.97
Student_0011,23,Male,Electronics,B.E,8.07,1,5,65,68,69,58,9,2,35,1,3,0,0.0
Student_0012,22,Male,Electronics,B.Tech,6.95,3,1,62,78,35,75,11,2,49,1,0,0,0.0
Student_0013,23,Female,Information Technology,M.Tech,6.36,3,4,95,71,90,91,2,2,89,1,0,1,15.02
Student_0014,22,Female,Information Technology,B.Tech,8.55,1,1,95,58,81,88,16,0,54,1,4,1,16.46
Student_0015,23,Female,Information Technology,B.Tech,7.46,0,3,58,31,90,83,1,3,32,0,1,1,12.77
Student_0016,22,Male,Computer Science,B.E,9.89,2,2,94,45,38,41,17,5,72,0,2,1,15.05
Student_0017,20,Other,Electrical,B.E,7.03,0,1,35,32,86,66,21,4,92,1,3,0,0.0
Student_0018,23,Male,Information Technology,B.E,9.37,3,5,52,62,55,70,8,1,68,0,2,1,14.65
Student_0019,21,Male,Computer Science,B.Tech,7.24,1,5,51,51,87,62,21,0,98,0,4,1,13.22
Student_0020,22,Other,Computer Science,MCA,8.74,3,3,78,34,99,94,16,4,37,0,4,1,15.89
Student_0021,21,Male,Electrical,BCA,9.1,2,0,72,72,91,97,0,5,76,1,1,1,16.37
Student_0022,20,Male,Electronics,MCA,6.38,1,1,63,55,94,44,4,5,75,0,0,0,0.0
Student_0023,23,Female,Information Technology,B.E,6.92,3,1,47,97,37,96,15,3,98,0,4,1,14.08
Student_0024,23,Male,Electronics,B.E,6.37,3,5,65,59,53,89,16,2,66,1,3,1,15.3
Student_0025,22,Male,Computer Science,B.E,6.17,3,2,48,36,50,79,2,4,87,1,3,1,12.54
Student_0026,21,Male,Information Technology,B.Tech,8.07,0,0,64,79,65,56,16,4,40,0,2,0,0.0
Student_0027,23,Male,Information Technology,B.Tech,7.2,1,3,53,79,98,83,19,4,33,1,2,1,12.07
Student_0028,22,Female,Civil,B.E,7.45,3,5,92,95,78,71,2,1,80,1,0,1,12.36
Student_0029,21,Female,Computer Science,B.Tech,7.96,3,3,82,78,68,92,21,5,30,1,2,1,14.42
Student_0030,21,Male,Electronics,B.Tech,5.54,1,2,42,55,86,79,12,0,91,0,2,0,0.0
Student_0031,20,Male,Civil,MCA,8.69,0,1,95,76,42,97,14,0,31,0,0,1,15.13
Student_0032,20,Male,Electrical,B.Tech,7.05,1,5,76,85,76,59,1,3,78,0,3,1,14.88
Student_0033,22,Female,Mechanical,B.E,7.93,2,0,54,66,65,35,14,3,61,1,3,1,14.29
Student_0034,23,Female,Information Technology,B.E,8.02,2,5,67,85,44,64,10,3,75,0,4,1,15.57
Student_0035,20,Female,Electronics,B.Tech,8.77,3,1,43,97,75,99,8,5,73,1,0,1,13.9
Student_0036,23,Male,Information Technology,MCA,7.3,0,0,33,82,88,75,18,5,61,0,1,1,11.56
Student_0037,23,Male,Mechanical,B.Tech,5.28,1,2,59,65,87,79,5,4,63,0,2,0,0.0
Student_0038,21,Male,Information Technology,MCA,7.46,1,0,84,64,89,73,1,0,65,1,4,1,15.81
Student_0039,22,Female,Mechanical,BCA,7.6,3,0,54,88,86,71,11,0,77,0,1,0,0.0
Student_0040,20,Male,Mechanical,B.Tech,6.37,0,1,56,91,62,34,17,0,79,1,4,0,0.0
Student_0041,23,Female,Electrical,B.Tech,7.55,0,4,99,48,33,58,3,3,61,1,4,1,12.14
Student_0042,22,Female,Electronics,B.Tech,7.04,1,4,99,30,97,36,23,4,54,0,0,1,13.55
Student_0043,21,Male,Electrical,B.Tech,6.06,0,1,62,86,61,53,16,4,32,1,1,0,0.0
Student_0044,20,Male,Electronics,B.Tech,8.07,2,3,33,46,74,80,22,0,84,1,1,1,12.53
Student_0045,23,Male,Civil,MCA,6.84,2,2,77,99,31,86,11,1,45,1,2,1,13.78
Student_0046,21,Male,Mechanical,B.Tech,6.99,2,2,80,32,92,45,2,2,60,0,4,1,12.58
Student_0047,23,Male,Civil,BCA,6.94,3,2,93,93,92,75,4,3,99,0,1,1,14.95
Student_0048,22,Female,Electronics,B.Tech,8.64,1,5,96,77,94,45,12,0,84,0,3,1,14.2
Student_0049,23,Male,Civil,MCA,7.36,1,3,74,51,42,44,14,5,54,1,0,1,13.77
Student_0050,23,Male,Electronics,B.Tech,7.48,1,3,37,32,89,97,17,0,63,0,2,1,14.57
Student_0051,20,Female,Electronics,B.Tech,6.96,3,5,47,89,73,72,19,3,52,0,1,1,13.3
Student_0052,21,Female,Electronics,B.E,7.86,2,3,80,38,40,43,18,5,73,0,4,0,0.0
Student_0053,21,Male,Civil,B.Tech,8.75,0,0,72,36,69,39,14,1,40,0,3,0,0.0
Student_0054,21,Female,Mechanical,BCA,8.05,2,1,60,85,63,33,0,4,96,1,1,0,0.0
Student_0055,20,Female,Computer Science,B.Tech,8.09,2,2,58,77,73,64,12,3,99,1,3,1,15.99
Student_0056,22,Female,Civil,B.E,8.01,0,0,79,38,35,37,19,4,50,1,1,0,0.0
Student_0057,20,Female,Civil,B.E,6.02,2,4,59,53,69,70,20,3,46,1,2,1,12.72
Student_0058,22,Male,Computer Science,B.E,6.52,2,2,40,76,77,60,20,5,67,1,2,1,13.76
Student_0059,22,Female,Electrical,B.Tech,7.2,0,0,98,76,80,74,0,2,75,1,4,0,0.0
Student_0060,23,Male,Mechanical,B.Tech,6.67,0,2,54,55,83,44,10,0,75,1,1,0,0.0
Student_0061,22,Female,Computer Science,B.Tech,6.34,2,4,49,58,73,40,14,4,32,1,0,0,0.0
Student_0062,21,Female,Electronics,B.Tech,5.53,2,5,34,35,79,37,5,5,79,0,0,0,0.0
Student_0063,23,Male,Electrical,B.Tech,6.05,2,5,62,30,36,36,9,2,34,0,4,0,0.0
Student_0064,21,Male,Information Technology,MCA,7.14,1,5,99,97,85,35,2,4,53,1,1,1,15.27
Student_0065,21,Female,Electrical,B.E,7.33,2,3,41,46,55,48,4,5,80,1,0,1,13.52
Student_0066,23,Female,Electronics,B.E,6.61,3,5,47,94,68,86,0,3,92,0,2,1,13.67
